""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cCluster_8486"	117128.134952114	-0.305874664070022	0.0490257770560085	-6.23905794946569	4.40213904119563e-10	8.53053233875463e-10
"cCluster_9842"	29077.4007964622	-0.591724130955868	0.0948428232574274	-6.23899743420522	4.40384216927473e-10	8.5330048822643e-10
"cCluster_37327"	1565.05754805523	-0.774237994748014	0.124104257948065	-6.23860943652728	4.41477718113267e-10	8.55336316131184e-10
"cCluster_20397"	11600.2640443714	-1.17860205443975	0.188973603612427	-6.2368607673746	4.46439002855028e-10	8.64864618565529e-10
"cCluster_6673"	98.1966927405273	9.98536634654669	1.60120538643338	6.23615585555124	4.48454316326271e-10	8.68684539237516e-10
"cCluster_33615"	104.729337341898	4.34103166225964	0.69616800262227	6.23560928670693	4.50023042960459e-10	8.71638735880458e-10
"cCluster_19186"	810.576357805453	2.78627674950582	0.446870528579197	6.23508728213661	4.51526266554128e-10	8.74465500719284e-10
"cCluster_4389"	1674.18289594037	-1.00391924958491	0.161016999104044	-6.23486498426299	4.52167907663082e-10	8.75623262779453e-10
"cCluster_29013"	8613.85883148512	-1.50145787439234	0.240818838815829	-6.23480240073995	4.5234870937872e-10	8.75888471291191e-10
"cCluster_12847"	167.071079663655	2.82023916917295	0.452403106106984	6.23390761712856	4.54941438910158e-10	8.80823421753455e-10
"cCluster_14968"	258.827947513496	5.87153122992229	0.941992975489726	6.23309449507283	4.57310121113913e-10	8.85323674089011e-10
"cCluster_21876"	1095.88604239933	2.28572550822133	0.366763630115902	6.23214877521801	4.60080213801548e-10	8.90600084376968e-10
"cCluster_3405"	1244.34903012212	-0.836257341970301	0.134193504828029	-6.23172740768621	4.61319702243111e-10	8.92912892665323e-10
"cCluster_29057"	306.450785787608	1.60256148063248	0.257166910708432	6.23160062162671	4.61693291671364e-10	8.93549413926509e-10
"cCluster_42515"	1259.16685846988	2.89938771958894	0.465280568731945	6.23148249558499	4.62041629093057e-10	8.94136944500466e-10
"cCluster_33278"	1719.26644565724	-0.843517226898747	0.135370877811753	-6.23115725135315	4.63002055491582e-10	8.95908753118701e-10
"cCluster_13821"	155.70124002059	2.54758521919562	0.408862295496173	6.2309125768225	4.63725848469521e-10	8.97222377293557e-10
"cCluster_20778"	1601.24499384097	0.979830888835341	0.157301847726064	6.22898524715162	4.69465991156369e-10	9.08240501050698e-10
"cCluster_8083"	654.598687474043	1.17393478645256	0.188469401811051	6.22878183499238	4.70075841584368e-10	9.09332261829145e-10
"cCluster_217"	1579.34693530922	0.681163605250343	0.109363167888161	6.22845532370577	4.71056372784039e-10	9.11140800461042e-10
"cCluster_30289"	3815.8023406764	0.866914274534561	0.139195091255911	6.22805205781816	4.72270157761985e-10	9.1340011631445e-10
"cCluster_22852"	983.848737930149	2.39627960179932	0.38476692198896	6.22787320025415	4.72809475578204e-10	9.14354659180426e-10
"cCluster_36153"	1861.86287902854	1.09030418186873	0.175098827772758	6.22679315297139	4.76078991359361e-10	9.205883690613e-10
"cCluster_1623"	263.78583230106	-1.79242812805123	0.287963933050081	-6.22448828596706	4.83130239442509e-10	9.34132855760731e-10
"cCluster_6456"	443.590407833885	2.41075580682915	0.387332898043661	6.22398928416715	4.84670197334056e-10	9.37019666255108e-10
"cCluster_21236"	811.984645508038	-0.930874166173086	0.149569076374454	-6.22370739151049	4.85542256167686e-10	9.38614784375256e-10
